Студент: Дмитрий         | Зачетка: 49498 | Балл: 29
Студент: Анна            | Зачетка: 76026 | Балл: 87
Студент: Мария           | Зачетка: 87438 | Балл: 26
Студент: Дмитрий         | Зачетка: 75566 | Балл: 4
Студент: Анна            | Зачетка: 39945 | Балл: 46
Студент: Елена           | Зачетка: 17019 | Балл: 47
Студент: Мария           | Зачетка: 70556 | Балл: 66
Студент: Алексей         | Зачетка: 31543 | Балл: 25
Студент: Анна            | Зачетка: 62623 | Балл: 0
Студент: Иван            | Зачетка: 85984 | Балл: 96
Студент: Алексей         | Зачетка: 87886 | Балл: 95
Студент: Иван            | Зачетка: 78246 | Балл: 31
Студент: Иван            | Зачетка: 84400 | Балл: 65
Студент: Елена           | Зачетка: 14587 | Балл: 44
Студент: Дмитрий         | Зачетка: 88377 | Балл: 67
Студент: Анна            | Зачетка: 95274 | Балл: 40
Студент: Дмитрий         | Зачетка: 39649 | Балл: 94
Студент: Елена           | Зачетка: 26199 | Балл: 88
Студент: Елена           | Зачетка: 70280 | Балл: 37
Студент: Иван            | Зачетка: 56223 | Балл: 96
Студент: Дмитрий         | Зачетка: 10046 | Балл: 21
Студент: Иван            | Зачетка: 76521 | Балл: 98
Студент: Дмитрий         | Зачетка: 62903 | Балл: 51
Студент: Елена           | Зачетка: 12479 | Балл: 34
Студент: Елена           | Зачетка: 99793 | Балл: 48
Студент: Анна            | Зачетка: 85343 | Балл: 68
Студент: Елена           | Зачетка: 94178 | Балл: 50
Студент: Мария           | Зачетка: 71135 | Балл: 96
Студент: Алексей         | Зачетка: 75958 | Балл: 65
Студент: Мария           | Зачетка: 15868 | Балл: 57
Студент: Дмитрий         | Зачетка: 97234 | Балл: 98
Студент: Анна            | Зачетка: 20090 | Балл: 18
Студент: Дмитрий         | Зачетка: 57139 | Балл: 100
Студент: Анна            | Зачетка: 70805 | Балл: 22
Студент: Мария           | Зачетка: 50705 | Балл: 16
Студент: Анна            | Зачетка: 90277 | Балл: 97
Студент: Иван            | Зачетка: 88524 | Балл: 51
Студент: Анна            | Зачетка: 62435 | Балл: 6
Студент: Алексей         | Зачетка: 83995 | Балл: 51
Студент: Анна            | Зачетка: 71559 | Балл: 51
Студент: Алексей         | Зачетка: 76541 | Балл: 86
Студент: Иван            | Зачетка: 95422 | Балл: 48
Студент: Иван            | Зачетка: 36861 | Балл: 91
Студент: Дмитрий         | Зачетка: 14460 | Балл: 13
Студент: Алексей         | Зачетка: 99224 | Балл: 11
Студент: Алексей         | Зачетка: 29418 | Балл: 71
Студент: Мария           | Зачетка: 15027 | Балл: 97
Студент: Анна            | Зачетка: 57678 | Балл: 40
Студент: Дмитрий         | Зачетка: 11510 | Балл: 98
Студент: Алексей         | Зачетка: 55209 | Балл: 51
Студент: Елена           | Зачетка: 34177 | Балл: 29
Студент: Мария           | Зачетка: 87080 | Балл: 96
Студент: Алексей         | Зачетка: 35427 | Балл: 77
Студент: Елена           | Зачетка: 61396 | Балл: 78
Студент: Иван            | Зачетка: 72684 | Балл: 15
Студент: Елена           | Зачетка: 86767 | Балл: 59
Студент: Мария           | Зачетка: 58505 | Балл: 8
Студент: Иван            | Зачетка: 57359 | Балл: 60
